iter	Accuracy	Logloss
447	0.8511705686	0.3370095209
448	0.8511705686	0.3370095187
449	0.8511705686	0.3369657863
450	0.8513225905	0.3369615066
451	0.851930678	0.3365546844
452	0.851930678	0.3365461826
453	0.851930678	0.3363515085
454	0.8522347218	0.3362527031
455	0.8522347218	0.336193139
456	0.851930678	0.3360998643
457	0.851930678	0.3357484899
458	0.8520826999	0.335505698
459	0.851930678	0.3354209273
460	0.851930678	0.335408448
461	0.8522347218	0.3353892491
462	0.8529948313	0.334981419
463	0.853298875	0.3348420818
464	0.8529948313	0.3344221998
465	0.853298875	0.3342392135
466	0.853298875	0.3342392116
467	0.8536029188	0.3340620127
468	0.8536029188	0.3340559993
469	0.8529948313	0.3338244895
470	0.8536029188	0.3336824176
471	0.853298875	0.3332218077
472	0.8537549407	0.3327997338
473	0.8536029188	0.3325608856
474	0.853298875	0.3322715287
475	0.8537549407	0.3321413106
476	0.8537549407	0.3321214811
477	0.8543630283	0.3319243947
478	0.8543630283	0.3315860671
479	0.8542110064	0.3314655472
480	0.8542110064	0.3312996184
481	0.8543630283	0.3311554906
482	0.8539069626	0.3310018623
483	0.8542110064	0.330548663
484	0.8540589845	0.3305284606
485	0.8540589845	0.3304373249
486	0.8539069626	0.3301305178
487	0.8539069626	0.3300945372
488	0.8542110064	0.3299276683
489	0.8542110064	0.3298086007
490	0.8539069626	0.3294133682
491	0.8539069626	0.3293953964
492	0.8534508969	0.3290892735
493	0.8536029188	0.3290791957
494	0.8537549407	0.3289619654
495	0.8543630283	0.3287542988
496	0.8545150502	0.3286654843
497	0.8548190939	0.3286268052
498	0.8545150502	0.3283638369
499	0.8545150502	0.3282036445
500	0.8543630283	0.327922889
